Order - Status,Carrier - Service Sel,Date - Order Date,Date - Ship By Date,Order - Number,Item - SKU,MFPN,Item - Qty,Item - Name,Source,Market - Store Name,Order - Weight,Service - Package Type
Awaiting Shipment,UPS® Ground,2/2/2026 8:13:39 AM,,400045147,CM-39-GREY,KM19,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 37 x 22, Grey",web,Xtreme Mats,46.4,Package
Awaiting Shipment,UPS® Ground,2/2/2026 6:14:00 AM,,400045145,TDL-BEIGE,TDL02,10,"Drawer Liner Trimmable Mat - Non-Slip, Durable Protection for Drawers and Shelves - Beige",web,Xtreme Mats,400.0,Package
Awaiting Shipment,UPS® Ground,2/2/2026 5:37:45 AM,,400045144,CM-24-BEIGE,KM22,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 22 x 22, Beige",web,Xtreme Mats,96.8,Package
Awaiting Shipment,UPS® Ground,2/2/2026 5:37:45 AM,,400045144,CMV-30-BEIGE,KM04,2,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 28 x 19, Beige",web,Xtreme Mats,96.8,Package
Awaiting Shipment,UPS® Ground,2/2/2026 12:00:00 AM,,08576004,CMV-36-GREY,KM13,1,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 34 x 19, Grey",,The Home Depot,38.4,Package
Awaiting Shipment,UPS® Ground,2/1/2026 4:37:48 PM,2/2/2026 4:00:00 PM,113-5317365-1558640,FM37-SLATE,FM01,1,"Appliance Drip Mat – Protects Floors from Ice, Water, and Condensation - Slate",amazon,Amazon Store,44.8,Package
Awaiting Shipment,UPS® Ground,2/1/2026 7:49:08 AM,,400045132,CMV-36-BEIGE,KM14,1,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 34 x 19, Beige",3890849,Xtreme Mats,39.2,Package
Awaiting Shipment,UPS® Ground,2/1/2026 12:00:00 AM,,400940930,1221757,KM21,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 22 x 22, Grey",,Lowes,30.4,Package
Awaiting Shipment,USPS Parcel Select,1/31/2026 8:53:48 PM,,400045123,FM37-CAPP,FM02,1,"Appliance Drip Mat – Protects Floors from Ice, Water, and Condensation - Cappuccino",web,Xtreme Mats,44.8,Package
Awaiting Shipment,UPS® Ground,1/31/2026 5:32:02 PM,,400045118,CMV-27-GREY,KM11,2,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 25 x 19, Grey",web,Xtreme Mats,121.6,Package
Awaiting Shipment,UPS® Ground,1/31/2026 5:32:02 PM,,400045118,CMV-33-GREY,KM25,2,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 31 x 19, Grey",web,Xtreme Mats,121.6,Package
Awaiting Shipment,UPS® Ground,1/31/2026 11:47:31 AM,,400045108,CM-36-BEIGE,KM02,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Beige",web,Xtreme Mats,48.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 7:33:31 AM,,400045103,CM-36-BEIGE,KM02,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Beige",web,Xtreme Mats,48.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 6:52:51 AM,,400045101,CMV-36-BEIGE,KM14,1,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 34 x 19, Beige",web,Xtreme Mats,287.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 6:52:51 AM,,400045101,TCM-BEIGE,TCM02,1,"Trimmable Under Sink Cabinet Mat - 34"" 1/4 x 22"" 1/4 - Beige",web,Xtreme Mats,287.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 6:52:51 AM,,400045101,TDL-BEIGE,TDL02,5,"Drawer Liner Trimmable Mat - Non-Slip, Durable Protection for Drawers and Shelves - Beige",web,Xtreme Mats,287.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 12:00:00 AM,,400897427,1221750,KM02,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Beige",,Lowes,48.0,Package
